Page,Subpage,Tab,Path,Form,Component,Selector,Intended_Behavior,Event_Handlers,Backend_Touchpoints,DB_Mapping,CRUD_Coverage,Status,Evidence
Dashboard,Main,,/dashboard,,Sidebar Navigation,sidebar-nav,Collapsible navigation menu,onClick → route navigation,N/A,N/A,N/A,Working,client/src/components/dashboard/Sidebar.tsx
Dashboard,Main,,/dashboard,,Mobile Menu Toggle,mobile-menu-btn,Opens mobile sidebar drawer,onClick → setIsMobileSidebarOpen(true),N/A,N/A,N/A,Working,client/src/pages/dashboard.tsx:169
Dashboard,Main,,/dashboard,,Header Title,dashboard-header,Displays page title and description,N/A,N/A,N/A,N/A,Working,client/src/pages/dashboard.tsx:165
Dashboard,Main,,/dashboard,,Notification Bell,notification-bell,Dropdown notification menu,onClick → toggle dropdown,GET /api/notifications,notifications table,Read,Working,client/src/components/modals/NotificationDropdown.tsx
Dashboard,Metrics,,/dashboard,,Total Views Card,metrics-views,Display view count with trend,Auto-refresh every 5min,GET /api/analytics/performance,content_metrics.views,Read,Working,client/src/components/dashboard/MetricsCards.tsx:23
Dashboard,Metrics,,/dashboard,,Subscribers Card,metrics-subscribers,Display subscriber count,Auto-refresh every 5min,GET /api/analytics/performance,Calculated from views,Read,Working,client/src/components/dashboard/MetricsCards.tsx:32
Dashboard,Metrics,,/dashboard,,Revenue Card,metrics-revenue,Display revenue metrics,Auto-refresh every 5min,GET /api/analytics/performance,content_metrics.revenue,Read,Working,client/src/components/dashboard/MetricsCards.tsx:40
Dashboard,Metrics,,/dashboard,,Engagement Card,metrics-engagement,Display engagement rate,Auto-refresh every 5min,GET /api/analytics/performance,content_metrics.engagement_rate,Read,Working,client/src/components/dashboard/MetricsCards.tsx:48
Dashboard,Quick Actions,,/dashboard,,Recorder Button,quick-action-recorder,Navigate to recorder page,onClick → /recorder,N/A,N/A,N/A,Working,client/src/pages/dashboard.tsx:189
Dashboard,Quick Actions,,/dashboard,,New Project Button,quick-action-new-project,Navigate to enhanced project creator,onClick → /new-project-enhanced,N/A,N/A,N/A,Working,client/src/pages/dashboard.tsx:199
Dashboard,Recent Content,,/dashboard,,Content List,recent-content-list,Display recent content items,Auto-load on mount,GET /api/content/recent,content table,Read,Working,client/src/components/dashboard/RecentContent.tsx
Dashboard,Recent Content,,/dashboard,,Content Item,content-item-{id},Clickable content preview,onClick → content detail,GET /api/content/{id},content table,Read,Working,client/src/components/dashboard/RecentContent.tsx
Dashboard,Recent Content,,/dashboard,,Content Actions,content-actions-{id},Edit/delete content,onClick → action modal,PUT/DELETE /api/content/{id},content table,Update/Delete,Working,client/src/components/dashboard/RecentContent.tsx
Dashboard,AI Assistant,,/dashboard,,AI Chat Input,ai-assistant-input,Text input for AI queries,onChange, onSubmit,POST /api/ai/chat,ai_generation_tasks,Create,Working,client/src/components/dashboard/AIAssistant.tsx
Dashboard,AI Assistant,,/dashboard,,AI Response Display,ai-assistant-response,Display AI responses,Auto-update on response,WebSocket streaming,N/A,N/A,Working,client/src/components/dashboard/AIAssistant.tsx
Dashboard,AI Assistant,,/dashboard,,Suggestion Chips,ai-suggestion-{index},Quick AI prompts,onClick → populate input,N/A,N/A,N/A,Working,client/src/components/dashboard/AIAssistant.tsx
